Canton,Volksinitiative "Für den geordneten Ausstieg aus der Atomenergie",Bundesgesetz über den Nachrichtendienst (Nachrichtendienstgesetz, NDG),Volksinitiative "AHVplus: für eine starke AHV",Volksinitiative "Für eine nachhaltige und ressourceneffiziente Wirtschaft (Grüne Wirtschaft)",Asylgesetz,Fortpflanzungsmedizingesetz,Initiative "Für eine faire Verkehrsfinanzierung",Initiative "Für ein bedingungsloses Grundeinkommen",Initiative "Pro Service public",Sanierung Gotthard-Strassentunnel,Initiative gegen die Spekulation mit Nahrungsmitteln,Durchsetzungsinitiative,Initiative gegen die Heiratsstrafe,Bundesgesetz über Radio und Fernsehen,"Volksinitiative ""Millionen-Erbschaften besteuern für unsere AHV (Erbschaftssteuerreform)""","Volksinitiative ""Stipendieninitiative""",Bundesbeschluss über die Änderung der Verfassungsbestimmung zur Fortpflanzungsmedizin und Gentechnologie im Humanbereich,"Volksinitiative ""Energie- statt Mehrwertsteuer""","Volksinitiative ""Familien stärken! Steuerfreie Kinder- und Ausbildungszulagen""","Volksinitiative ""Rettet unser Schweizer Gold (Gold-Initiative)""","Volksinitiative ""Stopp der Überbevölkerung - zur Sicherung der natürlichen Lebensgrundlagen""","Volksinitiative ""Schluss mit den Steuerprivilegien für Millionäre (Abschaffung der Pauschalbesteuerung)""","Volksinitiative ""Für eine öffentliche Krankenkasse""","Volksinitiative ""Schluss mit der MwSt-Diskriminierung des Gastgewerbes!""",Bundesgesetz über den Fonds zur Beschaffung des Kampfflugzeugs Gripen,"Volksinitiative ""Für den Schutz fairer Löhne (Mindestlohn-Initiative)""","Volksinitiative ""Pädophile sollen nicht mehr mit Kindern arbeiten dürfen""","Bundesbeschluss über die medizinische Grundversorgung (direkter Gegenentwurf zur zurückgezogenen Volksinitiative ""Ja zur Hausarztmedizin"")","Volksinitiative ""Gegen Masseneinwanderung""","Volksinitiative ""Abtreibungsfinanzierung ist Privatsache - Entlastung der Krankenversicherung durch Streichung der Kosten des Schwangerschaftsabbruchs aus der obligatorischen Grundversicherung""","Bundesbeschluss über die Finanzierung und den Ausbau der Eisenbahninfrastruktur (direkter Gegenentwurf zur zurückgezogenen Volksinitiative ""Für den öffentlichen Verkehr"")"
Zurich,47,64,38,38,70,63,29,25,31,56,40,35,43,48,33,27,65,11,20,21,24,49,32,24,49,25,57,87,47,30,63
Bern,44,66,40,37,69,56,29,24,33,58,41,40,46,49,36,27,57,9,21,22,25,44,39,27,49,24,57,89,51,32,58
Luzern,39,69,31,31,68,57,27,18,29,61,36,44,51,50,27,22,55,8,26,25,30,43,26,28,54,18,57,89,53,38,61
Uri,40,63,30,26,61,51,29,15,31,53,36,52,51,44,26,21,46,6,24,26,30,38,33,35,62,18,63,86,58,45,51
Schwyz,32,64,28,22,58,54,37,14,32,68,33,54,55,40,17,18,49,6,25,29,34,36,21,30,62,14,65,81,63,44,50
Obwalden,35,69,25,23,57,50,33,14,27,65,31,53,55,41,18,15,44,6,21,28,33,33,23,35,64,14,59,83,59,42,52
Nidwalden,35,70,27,23,61,55,32,13,29,63,31,51,55,43,18,16,50,6,24,25,29,31,21,30,68,13,59,83,59,40,52
Glarus,39,63,37,31,63,58,33,18,36,60,38,49,52,45,30,21,52,6,17,25,31,41,33,29,60,18,63,89,59,36,51
Zug,38,69,29,28,64,62,29,16,31,63,32,43,52,43,19,18,58,8,22,20,24,33,22,24,58,16,59,87,50,34,64
Fribourg,48,67,43,37,69,68,30,24,36,55,40,41,54,55,28,30,67,6,33,21,25,36,50,31,41,25,69,91,48,24,59
Solothurn,39,63,41,31,65,56,32,21,35,65,40,43,52,49,30,26,55,7,25,24,30,46,38,31,50,22,65,88,55,35,53
BaselStd,60,55,49,47,74,60,24,36,35,52,50,30,39,51,41,34,63,14,25,21,24,45,45,29,32,38,56,89,39,25,72
BaselLnd,50,64,42,36,68,60,31,23,33,61,40,40,49,46,29,26,61,8,24,22,26,46,36,29,43,24,62,89,51,30,63
Schaffhausen,47,61,41,36,64,53,32,25,32,53,44,45,51,43,32,29,49,11,27,29,32,51,33,35,49,26,66,87,58,35,53
AppenzellAusserrhoden,43,61,34,33,64,50,29,21,35,51,38,45,50,42,28,21,49,8,20,28,30,48,27,28,51,19,55,82,54,40,56
AppenzellInnerrhoden,34,66,22,24,56,50,28,13,27,54,33,54,56,40,21,13,45,5,21,26,31,35,18,31,61,12,59,82,63,51,51
StGallen,40,66,33,30,65,55,32,19,35,56,37,46,53,48,28,22,52,7,24,27,30,44,29,27,52,18,63,85,56,42,58
Graubunden,44,64,35,30,67,55,26,18,29,60,38,42,49,51,24,23,54,7,22,20,22,29,27,29,51,18,63,89,51,34,65
Aargau,37,65,36,30,64,58,32,19,33,68,38,44,53,47,25,23,58,8,23,24,29,43,31,30,52,19,64,87,55,36,55
Thurgau,40,64,34,30,62,53,33,19,36,57,38,47,54,45,27,21,50,8,23,27,31,44,27,27,56,18,63,85,58,41,54
Ticino,46,66,53,40,56,58,34,22,38,58,42,59,55,48,27,29,61,7,29,33,37,32,44,35,45,32,83,88,68,32,72
Vaud,55,74,50,46,74,85,23,25,28,46,44,33,46,62,28,38,85,6,26,17,17,31,56,32,35,28,69,91,39,11,74
Wallis,47,65,41,29,63,60,31,19,33,57,36,45,57,46,16,27,57,4,32,21,21,22,33,30,38,18,74,84,48,29,60
Neuchatel,57,65,54,44,73,74,30,31,41,51,46,35,52,60,34,42,75,6,28,20,22,39,60,30,31,32,70,94,39,16,69
Geneve,59,61,54,52,60,82,24,35,27,45,46,35,47,62,28,42,82,9,30,24,21,32,57,27,32,34,74,93,39,14,77
Jura,57,63,60,45,69,70,29,34,41,50,51,40,60,59,34,38,67,6,43,19,23,41,63,35,26,36,72,91,44,20,65
